Facility Name,Opening Days and Hours,Phone,Latitude,Longitude,Formatted Address,Primary Type,Accessibility Options,Maps URI,Website URI
0.4 zobozdravstvene storitve d.o.o.,Monday: 1:00 – 7:00 PM; Tuesday: 7:30 AM – 1:45 PM; Wednesday: 1:00 – 7:00 PM; Thursday: 7:30 AM – 1:45 PM; Friday: 7:30 AM – 1:45 PM; Saturday: Closed; Sunday: Closed,+386 1 364 03 40,46.065204699999995,14.314569299999999,"Polhov Gradec 13, 1355 Polhov Gradec, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=16915712383873108872,https://zdravniki-zobozdravniki.net/Clan/Gregor-KNAFELC-922
1A- DENT ZOBJE d.o.o.,,+386 2 876 48 64,46.4807804,15.07995,"Podgorje 64a, 2381 Podgorje pri Slovenj Gradcu, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=8071289317494507407,
A DENT d.o.o.,,+386 1 436 11 77,46.066421399999996,14.511284000000002,"Peričeva ulica 27, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=13961637837538778967,
A-Dens d.o.o.,Monday: 12:30 – 7:30 PM; Tuesday: 12:30 – 7:30 PM; Wednesday: 7:30 AM – 2:00 PM; Thursday: 7:30 AM – 2:00 PM; Friday: 7:30 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 7 307 85 19,45.858348799999995,15.0837488,"Trg 27, 8216 Mirna Peč, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=5052475255009868864,http://www.zobna-ambulanta.com/
A.MLINAR d.o.o.-parodontologija Koper,Monday: 1:00 – 8:00 PM; Tuesday: 8:30 AM – 3:00 PM; Wednesday: 1:00 – 8:00 PM; Thursday: 8:30 AM – 3:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 40 827 522,45.544973999999996,13.731829,"Vojkovo nabrežje 6, 6000 Koper, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=9694391845143184822,http://www.dcmlinar.si/
A.MLINAR d.o.o.-zobozdravstvo odrasli,Monday: 1:00 – 8:00 PM; Tuesday: 8:30 AM – 3:00 PM; Wednesday: 1:00 – 8:00 PM; Thursday: 8:30 AM – 3:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 40 827 522,45.544973999999996,13.731829,"Vojkovo nabrežje 6, 6000 Koper, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=9694391845143184822,http://www.dcmlinar.si/
A.S. LINEA D.O.O.,,+386 4 574 13 66,46.371395299999996,14.1090942,"Mladinska cesta 1, 4260 Bled, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=16737639160465930113,https://www.cakalnedobe.si/ambulante/a-s-linea-trgovina-storitve-d-o-o-zobozdravstvena-dejavnost/
AB Nasmeh zobozdravstvene in druge storitve d.o.o.,Monday: 12:30 – 7:30 PM; Tuesday: 12:00 – 7:00 PM; Wednesday: 7:30 AM – 2:00 PM; Thursday: 7:30 AM – 2:00 PM; Friday: 7:30 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 2 524 19 10,46.6609057,16.1674286,"Cvetkova ulica 10, 9000 Murska Sobota, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2142103908257166529,https://www.moja-dejavnost.si/zasebni-zobozdravnik-za-odrasle-na-koncesijo-murska-sobota/ab-nasmeh-doo/MMxpAq5NQR
AERODENT d.o.o.,,,45.962747500000006,14.302594099999999,"Brigadirska cesta 16, 1360 Vrhnika, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=4657337843465414046,
AGENCIJA AVANTA d.o.o. Ljubljana,,+386 1 200 79 80,46.0414069,14.510729599999998,"Prule 19, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking,https://maps.google.com/?cid=6294758571975658743,https://www.avanta.si/
