id,name,idProcedure,fullName
900,A scan ehografija,1935,A scan ehografija
2263,A scan ehografija - otroci,3003,A scan ehografija - otroci
2003,Abdominalna punkcija,2784,Abdominalna punkcija
9,Abdominalni kirurški pregled - prvi,1006P,Abdominalni kirurški pregled - prvi
1274,Abdominalni kirurški pregled otroka - prvi,2339P,Abdominalni kirurški pregled otroka - prvi
622,Ablacija nohta in drugi posegi na nohtih,1658,Ablacija nohta in drugi posegi na nohtih
618,Abrazija kože,1654,Abrazija kože
166,Adrenalektomija,1169,Adrenalektomija
1458,Aferezno zdravljenje,2590,Aferezno zdravljenje
526,Akupunktura,1529,Akupunktura
112,Alergološki pregled - prvi,1056P,Alergološki pregled - prvi
124,Alergološki pregled otroka - prvi,1062P,Alergološki pregled otroka - prvi
15,Algološki pregled - prvi,1009P,Algološki pregled - prvi
393,Ambulantna histeroskopija,1396,Ambulantna histeroskopija
1142,Amputacija korenine,2227,Amputacija korenine
1764,Analna elektrostimulacija,2669,Analna elektrostimulacija
887,Angiografija (brez koronarne angiografije),1921,Angiografija (brez koronarne angiografije)
2255,Angiografija (brez koronarne angiografije) - otroci,2995,Angiografija (brez koronarne angiografije) - otroci
35,Angiološki pregled - prvi,1019P,Angiološki pregled - prvi
888,Anterogradna pieloureterografija po nefrostomi,1922,Anterogradna pieloureterografija po nefrostomi
2256,Anterogradna pieloureterografija po nefrostomi - otroci,2996,Anterogradna pieloureterografija po nefrostomi - otroci
37,Antikoagulacijsko zdravljenje - prvi pregled,1020P,Antikoagulacijsko zdravljenje - prvi pregled
346,Antirefluksni poseg,1349,Antirefluksni poseg
282,Aortokoronarni obvodi,1285,Aortokoronarni obvodi
284,Aortokoronarni obvodi z menjavo srčne zaklopke,1287,Aortokoronarni obvodi z menjavo srčne zaklopke
1125,Apikotomija,2210,Apikotomija
1032,Artrodeza gležnja,2114,Artrodeza gležnja
1035,Artrodeza kolena,2117,Artrodeza kolena
1031,Artrodeza kolka,2113,Artrodeza kolka
1030,Artrodeza komolca,2112,Artrodeza komolca
603,Artrodeza malih sklepov roke,1639,Artrodeza malih sklepov roke
1790,Artrodeza prsta,2717,Artrodeza prsta
1033,Artrodeza ramena,2115,Artrodeza ramena
1034,Artrodeza zapestja,2116,Artrodeza zapestja
584,Artroskopija (drugo),1620,Artroskopija (drugo)
987,Artroskopija gležnja (diagnostična in terapevtska),2003,Artroskopija gležnja (diagnostična in terapevtska)
990,Artroskopija kolena (diagnostična in terapevtska),2006,Artroskopija kolena (diagnostična in terapevtska)
586,Artroskopija kolka (diagnostična in terapevtska),1622,Artroskopija kolka (diagnostična in terapevtska)
585,Artroskopija komolca (diagnostična in terapevtska),1621,Artroskopija komolca (diagnostična in terapevtska)
988,Artroskopija rame (diagnostična in terapevtska),2004,Artroskopija rame (diagnostična in terapevtska)
989,Artroskopija zapestja (diagnostična in terapevtska),2005,Artroskopija zapestja (diagnostična in terapevtska)
228,Aspiracija in lavaža nosnih sinusov,1231,Aspiracija in lavaža nosnih sinusov
213,Atikotomija,1216,Atikotomija
494,Avditorni evocirani potenciali,1497,Avditorni evocirani potenciali
901,B scan ehografija,1936,B scan ehografija
2264,B scan ehografija - otroci,3004,B scan ehografija - otroci
1968,Balonska dilatacija požiralnika,2746,Balonska dilatacija požiralnika
512,Bilimetrija,1515,Bilimetrija
587,Biopsija - mišičnoskeletna (vključuje mehka tkiva),1623,Biopsija - mišičnoskeletna (vključuje mehka tkiva)
321,"Biopsija abdomna, peritoneja in omentuma",1324,"Biopsija abdomna, peritoneja in omentuma"
563,Biopsija anusa in rektuma,1599,Biopsija anusa in rektuma
311,Biopsija bezgavk,1314,Biopsija bezgavk
167,Biopsija češarike (epifize),1170,Biopsija češarike (epifize)
562,Biopsija debelega črevesa,1598,Biopsija debelega črevesa
457,Biopsija dojke,1460,Biopsija dojke
169,Biopsija hipofize,1172,Biopsija hipofize
403,Biopsija in aspiracija testisa,1406,Biopsija in aspiracija testisa
564,Biopsija jeter,1600,Biopsija jeter
231,Biopsija jezika,1234,Biopsija jezika
309,Biopsija kostnega mozga,1312,Biopsija kostnega mozga
619,Biopsija kože in podkožnega tkiva,1655,Biopsija kože in podkožnega tkiva
349,Biopsija ledvice,1352,Biopsija ledvice
236,Biopsija mandljev/žrelnice,1239,Biopsija mandljev/žrelnice
1134,Biopsija mehkih tkiv v dentalni medicini,2219,Biopsija mehkih tkiv v dentalni medicini
361,Biopsija mehurja,1364,Biopsija mehurja
165,Biopsija nadledvične žleze,1168,Biopsija nadledvične žleze
