Procedure Code,Procedure Name,Facility,Category,Waiting Days
1003P,Pregled dojk in nadaljnja obravnava - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,43
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,regular,88
1003P,Pregled dojk in nadaljnja obravnava - prvi,"Ambulanta za ginekologijo in por. ter bolezni dojk Danica Hrvatin, dr.med.",regular,88
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,91
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,165
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM LJUBLJANA - CENTER,regular,165
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,regular,165
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,regular,187
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,257
1003P,Pregled dojk in nadaljnja obravnava - prvi,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,regular,257
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,281
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,288
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM NOVO MESTO,regular,408
1003P,Pregled dojk in nadaljnja obravnava - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,29
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,57
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,fast,67
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,fast,74
1003P,Pregled dojk in nadaljnja obravnava - prvi,"Ambulanta za ginekologijo in por. ter bolezni dojk Danica Hrvatin, dr.med.",fast,88
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,91
1003P,Pregled dojk in nadaljnja obravnava - prvi,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,fast,104
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM LJUBLJANA - CENTER,fast,104
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,118
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,135
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,165
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,197
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM NOVO MESTO,fast,257
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM NOVO MESTO,veryFast,0
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,0
1003P,Pregled dojk in nadaljnja obravnava - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,0
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,veryFast,13
1003P,Pregled dojk in nadaljnja obravnava - prvi,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,veryFast,15
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,veryFast,29
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,29
